Firma;Stant;Salon;Sektör (tahmini);Kitapçık logo sayfasında
Abramak Bilgi Teknolojileri;P1-14;P;Teknoloji & Bilişim;Evet
Fındıko Gıda;P1-15;P;Gıda & İçecek;
Özdemir Makina;P1-16;P;Metal, Makine & Sanayi;Evet
Göresun Seyahat;P1-17;P;Turizm & Konaklama;
Brosis Lazer Kesim;P1-18;P;Metal, Makine & Sanayi;Evet
Heatemp (Bina Otomasyonu ve Endüstriyel İklimlendirme Çözümleri);P1-19;P;Enerji & Elektrik;
Switch Elektronik;P1-20;P;Enerji & Elektrik;
Arstek Metal;P1-21;P;Metal, Makine & Sanayi;Evet
Enes Cıvata;P1-22;P;Metal, Makine & Sanayi;Evet
İnovoltis Enerji ve Elektronik;P1-23;P;Enerji & Elektrik;Evet
Tusaser Su Arıtma Sistemleri;P1-24;P;Su & Çevre Teknolojileri;Evet
Müjdat Karayılan;P2-01, P2-02, P2-03, P2-04, P2-05, P2-06;P;Diğer;
NOK Grup İnşaat;P2-07;P;Yapı & İnşaat;Evet
Hakan Reklam;P2-09;P;Reklam, Medya & Basım;
Abega Nuclear (Radyoaktif ve Nükleer Hizmetler);P2-10;P;Enerji & Elektrik;Evet
Cesurlar Mühendislik;P2-13;P;Yapı & İnşaat;
Syvera Fındık İşleme ve Lezzet Atölyesi;P2-16;P;Gıda & İçecek;Evet
KKG Elektrik ve Aydınlatma;P2-19;P;Enerji & Elektrik;Evet
Hıdır Fındık;P2-22;P;Gıda & İçecek;
Aydın Grup İnşaat;E-07;E;Yapı & İnşaat;Evet
Asır Otomotiv;E-08, E-09;E;Otomotiv & Lojistik;Evet
Sazak Yemek;E-10;E;Gıda & İçecek;
Ocak Kalıp;E-18, E-19;E;Metal, Makine & Sanayi;Evet
Ajanssis / Mecra Medya;E-32, E-33;E;Reklam, Medya & Basım;
Tıkla Gelsin;E-35;E;Hizmet, Finans & Ticaret;
DMR Tüketim;E-38;E;Hizmet, Finans & Ticaret;
Ford Kent Oto;E-43, E-44;E;Otomotiv & Lojistik;
